Date,Open,High,Low,Close,Adj Close,Volume
2023-07-24,699000.000000,728000.000000,695000.000000,713000.000000,707912.312500,593589
2023-07-25,730000.000000,739000.000000,714000.000000,725000.000000,719826.687500,470635
2023-07-26,727000.000000,783000.000000,716000.000000,728000.000000,722805.312500,1219557
2023-07-27,729000.000000,730000.000000,653000.000000,658000.000000,653304.812500,875950
2023-07-28,640000.000000,655000.000000,626000.000000,650000.000000,645361.875000,595011
2023-07-31,650000.000000,663000.000000,642000.000000,648000.000000,643376.125000,497694
2023-08-01,650000.000000,679000.000000,647000.000000,655000.000000,650326.187500,486703
2023-08-02,650000.000000,654000.000000,640000.000000,642000.000000,637418.937500,320098
2023-08-03,646000.000000,653000.000000,635000.000000,643000.000000,638411.812500,270159
2023-08-04,638000.000000,643000.000000,635000.000000,636000.000000,631461.750000,217939
2023-08-07,631000.000000,638000.000000,609000.000000,615000.000000,610611.625000,296920
2023-08-08,615000.000000,626000.000000,612000.000000,615000.000000,610611.625000,234283
2023-08-09,617000.000000,633000.000000,611000.000000,630000.000000,625504.562500,204061
2023-08-10,624000.000000,634000.000000,612000.000000,634000.000000,629476.062500,210456
2023-08-11,631000.000000,632000.000000,620000.000000,622000.000000,617561.687500,163446
2023-08-14,616000.000000,619000.000000,596000.000000,597000.000000,592740.062500,361375
2023-08-16,584000.000000,601000.000000,583000.000000,584000.000000,579832.812500,290601
2023-08-17,575000.000000,583000.000000,570000.000000,581000.000000,576854.250000,414889
2023-08-18,571000.000000,578000.000000,566000.000000,569000.000000,564939.875000,230975
2023-08-21,562000.000000,577000.000000,562000.000000,568000.000000,563947.000000,240323
2023-08-22,579000.000000,587000.000000,571000.000000,573000.000000,568911.312500,186466
2023-08-23,571000.000000,574000.000000,559000.000000,562000.000000,557989.812500,160649
2023-08-24,564000.000000,572000.000000,558000.000000,563000.000000,558982.687500,215589
2023-08-25,556000.000000,563000.000000,548000.000000,560000.000000,556004.062500,197844
2023-08-28,565000.000000,567000.000000,557000.000000,563000.000000,558982.687500,191493
2023-08-29,566000.000000,566000.000000,558000.000000,560000.000000,556004.062500,157444
2023-08-30,566000.000000,589000.000000,566000.000000,576000.000000,571889.937500,290928
2023-08-31,579000.000000,583000.000000,574000.000000,583000.000000,578839.937500,287714
2023-09-01,583000.000000,584000.000000,569000.000000,570000.000000,565932.750000,163494
2023-09-04,568000.000000,588000.000000,567000.000000,586000.000000,581818.562500,273574
2023-09-05,584000.000000,597000.000000,583000.000000,592000.000000,587775.750000,174044
2023-09-06,592000.000000,597000.000000,583000.000000,585000.000000,580825.687500,147451
2023-09-07,580000.000000,581000.000000,570000.000000,577000.000000,572882.750000,225581
2023-09-08,573000.000000,576000.000000,557000.000000,564000.000000,559975.562500,271069
2023-09-11,563000.000000,567000.000000,559000.000000,561000.000000,556996.937500,120007
2023-09-12,568000.000000,570000.000000,552000.000000,559000.000000,555011.187500,132378
2023-09-13,552000.000000,557000.000000,537000.000000,540000.000000,536146.812500,330861
2023-09-14,541000.000000,553000.000000,539000.000000,553000.000000,549054.000000,329285
2023-09-15,553000.000000,575000.000000,547000.000000,573000.000000,568911.312500,366386
2023-09-18,562000.000000,573000.000000,560000.000000,573000.000000,568911.312500,204926
2023-09-19,567000.000000,569000.000000,547000.000000,552000.000000,548061.187500,293242
2023-09-20,546000.000000,554000.000000,545000.000000,551000.000000,547068.312500,239783
2023-09-21,537000.000000,540000.000000,518000.000000,525000.000000,521253.812500,599866
2023-09-22,510000.000000,523000.000000,508000.000000,517000.000000,513310.906250,254370
2023-09-25,513000.000000,518000.000000,505000.000000,509000.000000,505368.000000,224034
2023-09-26,505000.000000,512000.000000,500000.000000,505000.000000,501396.531250,228941
2023-09-27,497000.000000,501000.000000,487500.000000,496500.000000,492957.187500,379178
2023-10-04,497000.000000,504000.000000,485000.000000,486000.000000,482532.125000,544310
2023-10-05,490000.000000,515000.000000,488500.000000,502000.000000,498417.937500,286883
2023-10-06,497500.000000,503000.000000,495000.000000,499500.000000,495935.781250,169375
2023-10-10,500000.000000,514000.000000,493000.000000,497500.000000,493950.062500,271381
2023-10-11,513000.000000,524000.000000,506000.000000,518000.000000,514303.781250,356936
2023-10-12,523000.000000,541000.000000,523000.000000,529000.000000,525225.312500,320061
2023-10-13,529000.000000,537000.000000,525000.000000,528000.000000,524232.406250,149218
2023-10-16,523000.000000,524000.000000,506000.000000,513000.000000,509339.437500,257701
2023-10-17,517000.000000,530000.000000,515000.000000,516000.000000,512318.031250,193389
2023-10-18,511000.000000,514000.000000,501000.000000,506000.000000,502389.406250,177343
2023-10-19,491000.000000,498500.000000,488500.000000,494000.000000,490475.031250,462488
2023-10-20,485000.000000,487000.000000,475000.000000,479000.000000,475582.062500,349050
2023-10-23,475000.000000,489000.000000,469000.000000,481000.000000,477567.781250,292347
2023-10-24,481000.000000,494000.000000,463000.000000,492000.000000,488489.312500,340115
2023-10-25,489000.000000,489000.000000,456500.000000,458000.000000,454731.906250,405933
2023-10-26,437000.000000,442000.000000,424500.000000,426000.000000,422960.250000,685812
2023-10-27,426000.000000,448000.000000,426000.000000,438500.000000,435371.062500,601730
2023-10-30,429500.000000,456000.000000,427500.000000,445000.000000,441824.656250,363083
2023-10-31,448500.000000,449000.000000,430500.000000,440000.000000,436860.343750,433840
2023-11-01,440500.000000,444000.000000,429500.000000,431000.000000,427924.562500,352808
2023-11-02,440000.000000,458000.000000,438000.000000,455500.000000,452249.750000,285900
2023-11-03,466000.000000,474500.000000,463500.000000,471000.000000,467639.156250,296159
2023-11-06,499000.000000,529000.000000,487500.000000,521000.000000,517282.375000,713254
2023-11-07,509000.000000,512000.000000,483500.000000,492000.000000,488489.312500,539187
2023-11-08,496500.000000,505000.000000,474500.000000,478000.000000,474589.187500,276747
2023-11-09,477000.000000,482000.000000,463500.000000,467500.000000,464164.125000,378393
