Date,Open,High,Low,Close,Adj Close,Volume
2023-09-12,213500.000000,222500.000000,213000.000000,219500.000000,218695.343750,1284472
2023-09-13,220000.000000,222000.000000,215500.000000,222000.000000,221186.171875,923349
2023-09-14,223000.000000,226000.000000,220500.000000,225500.000000,224673.343750,990793
2023-09-15,225000.000000,230000.000000,224500.000000,229500.000000,228658.687500,1162871
2023-09-18,227000.000000,229000.000000,221500.000000,221500.000000,220688.015625,720909
2023-09-19,222000.000000,222000.000000,219000.000000,219500.000000,218695.343750,448589
2023-09-20,219000.000000,221500.000000,216500.000000,217500.000000,216702.671875,374274
2023-09-21,215000.000000,216500.000000,210000.000000,210000.000000,209230.171875,685787
2023-09-22,206500.000000,210000.000000,206000.000000,208000.000000,207237.500000,485769
2023-09-25,209000.000000,211500.000000,206000.000000,206500.000000,205743.000000,490044
2023-09-26,207000.000000,207500.000000,200000.000000,201000.000000,200263.156250,660374
2023-09-27,198000.000000,202500.000000,197600.000000,201500.000000,200761.328125,419270
2023-10-04,196000.000000,198100.000000,191200.000000,191200.000000,190499.093750,1163452
2023-10-05,192500.000000,193800.000000,189000.000000,189400.000000,188705.687500,622759
2023-10-06,189300.000000,192300.000000,189200.000000,190900.000000,190200.187500,403501
2023-10-10,192800.000000,196300.000000,189800.000000,191200.000000,190499.093750,627779
2023-10-11,194000.000000,195800.000000,192800.000000,193000.000000,192292.484375,603727
2023-10-12,193700.000000,194900.000000,191500.000000,193600.000000,192890.281250,570782
2023-10-13,191700.000000,193700.000000,190900.000000,191800.000000,191096.890625,368249
2023-10-16,190500.000000,192000.000000,188400.000000,189700.000000,189004.578125,568781
2023-10-17,191500.000000,192800.000000,188500.000000,188500.000000,187808.984375,512662
2023-10-18,188400.000000,190000.000000,185500.000000,186300.000000,185617.046875,531306
2023-10-19,183100.000000,183600.000000,180700.000000,181400.000000,180735.015625,789241
2023-10-20,178400.000000,181600.000000,178000.000000,180200.000000,179539.406250,579075
2023-10-23,179300.000000,182200.000000,178200.000000,178300.000000,177646.375000,446010
2023-10-24,181500.000000,187100.000000,180100.000000,187000.000000,186314.484375,802790
2023-10-25,189900.000000,191200.000000,184800.000000,189100.000000,188406.781250,802846
2023-10-26,184000.000000,186800.000000,181300.000000,181900.000000,181233.171875,757629
2023-10-27,183400.000000,186300.000000,182500.000000,185400.000000,184720.343750,520566
2023-10-30,184100.000000,187200.000000,183000.000000,186100.000000,185417.781250,392043
2023-10-31,191000.000000,192700.000000,186700.000000,187400.000000,186713.015625,823369
2023-11-01,190000.000000,191600.000000,187000.000000,187700.000000,187011.921875,511161
2023-11-02,191100.000000,192700.000000,190300.000000,190800.000000,190100.546875,633508
2023-11-03,195800.000000,200500.000000,193100.000000,200500.000000,199765.000000,1272388
2023-11-06,204500.000000,207500.000000,200000.000000,205500.000000,204746.671875,1000560
2023-11-07,202500.000000,204000.000000,197600.000000,200500.000000,199765.000000,782666
2023-11-08,200000.000000,202000.000000,197400.000000,197400.000000,196676.359375,586525
2023-11-09,197100.000000,200500.000000,196000.000000,198200.000000,197473.421875,592942
2023-11-10,196300.000000,198500.000000,193500.000000,194700.000000,193986.250000,674585
2023-11-13,197400.000000,199000.000000,192500.000000,192600.000000,191893.953125,499910
2023-11-14,194100.000000,198900.000000,194000.000000,198600.000000,197871.953125,478385
2023-11-15,203500.000000,206000.000000,202000.000000,205500.000000,204746.671875,846436
2023-11-16,204000.000000,204500.000000,200500.000000,203000.000000,202255.828125,425403
2023-11-17,203000.000000,204000.000000,200000.000000,202000.000000,201259.500000,406874
2023-11-20,200500.000000,203500.000000,200000.000000,202500.000000,201757.656250,272327
2023-11-21,205000.000000,207500.000000,204000.000000,204500.000000,203750.328125,463033
2023-11-22,202500.000000,207500.000000,200500.000000,207500.000000,206739.328125,357391
2023-11-23,206500.000000,208000.000000,204500.000000,205500.000000,204746.671875,345224
2023-11-24,205500.000000,207500.000000,204000.000000,205500.000000,204746.671875,335280
2023-11-27,205500.000000,211000.000000,205000.000000,206000.000000,205244.828125,538210
2023-11-28,208000.000000,210000.000000,204500.000000,207500.000000,206739.328125,550801
2023-11-29,208500.000000,209000.000000,205500.000000,207500.000000,206739.328125,496563
2023-11-30,206500.000000,209500.000000,206500.000000,208000.000000,207237.500000,642304
2023-12-01,208000.000000,210000.000000,204000.000000,206000.000000,205244.828125,542598
2023-12-04,208000.000000,214000.000000,207500.000000,210500.000000,209728.328125,706500
2023-12-05,210000.000000,216500.000000,209500.000000,213000.000000,212219.171875,890514
2023-12-06,214000.000000,215500.000000,212500.000000,213500.000000,212717.343750,494143
2023-12-07,214000.000000,215000.000000,210000.000000,212500.000000,211721.000000,521170
2023-12-08,215500.000000,219000.000000,215000.000000,217500.000000,216702.671875,685720
2023-12-11,218500.000000,220500.000000,215000.000000,217500.000000,216702.671875,513760
2023-12-12,216500.000000,219500.000000,212500.000000,213500.000000,212717.343750,710270
2023-12-13,212000.000000,215500.000000,212000.000000,213500.000000,212717.343750,435945
2023-12-14,218500.000000,225000.000000,217000.000000,223000.000000,222182.515625,1761941
2023-12-15,223000.000000,226500.000000,222000.000000,226000.000000,225171.515625,899325
2023-12-18,226000.000000,226500.000000,222000.000000,223000.000000,222182.515625,555176
2023-12-19,222500.000000,224500.000000,221000.000000,222500.000000,221684.343750,497403
2023-12-20,224000.000000,225500.000000,219500.000000,220500.000000,219691.671875,874344
2023-12-21,218500.000000,220000.000000,215500.000000,216500.000000,215706.343750,844340
2023-12-22,218500.000000,219000.000000,215000.000000,215000.000000,214211.843750,571741
2023-12-26,216500.000000,217500.000000,215000.000000,215500.000000,214710.000000,458545
2023-12-27,216000.000000,223000.000000,215500.000000,223000.000000,223000.000000,609910
2023-12-28,224000.000000,224000.000000,221000.000000,224000.000000,224000.000000,525435
2024-01-02,222500.000000,229000.000000,221000.000000,227500.000000,227500.000000,716469
2024-01-03,223500.000000,224000.000000,220000.000000,222000.000000,222000.000000,690960
2024-01-04,221000.000000,225500.000000,220500.000000,223000.000000,223000.000000,538911
2024-01-05,222500.000000,224000.000000,219500.000000,220500.000000,220500.000000,387884
2024-01-08,222000.000000,231500.000000,222000.000000,226500.000000,226500.000000,1054917
2024-01-09,229500.000000,233000.000000,228500.000000,229500.000000,229500.000000,835945
2024-01-10,229500.000000,233500.000000,227000.000000,231000.000000,231000.000000,702562
2024-01-11,232500.000000,234500.000000,229500.000000,231500.000000,231500.000000,879647
2024-01-12,232000.000000,232500.000000,228000.000000,230500.000000,230500.000000,516678
2024-01-15,230000.000000,230500.000000,223500.000000,229500.000000,229500.000000,205882
2024-01-16,227500.000000,235500.000000,227000.000000,230000.000000,230000.000000,695734
2024-01-17,228500.000000,230500.000000,218500.000000,219000.000000,219000.000000,961856
2024-01-18,217000.000000,219500.000000,215000.000000,216500.000000,216500.000000,730722
2024-01-19,219000.000000,221500.000000,213500.000000,215500.000000,215500.000000,916193
2024-01-22,219000.000000,222500.000000,217000.000000,217000.000000,217000.000000,533513
2024-01-23,218000.000000,219500.000000,215500.000000,218000.000000,218000.000000,388908
2024-01-24,219000.000000,219500.000000,215500.000000,218000.000000,218000.000000,380731
2024-01-25,216000.000000,217000.000000,212500.000000,213500.000000,213500.000000,582265
2024-01-26,211500.000000,218500.000000,211500.000000,216500.000000,216500.000000,406869
2024-01-29,216500.000000,218000.000000,211500.000000,212000.000000,212000.000000,616505
2024-01-30,214000.000000,214500.000000,208000.000000,209500.000000,209500.000000,614246
2024-01-31,208500.000000,209500.000000,200000.000000,200500.000000,200500.000000,1318605
2024-02-01,199500.000000,202500.000000,198600.000000,202500.000000,202500.000000,818613
2024-02-02,209500.000000,221500.000000,208000.000000,221500.000000,221500.000000,1841501
2024-02-05,220500.000000,221500.000000,208000.000000,208000.000000,208000.000000,1721981
2024-02-06,208000.000000,209000.000000,203500.000000,205500.000000,205500.000000,896400
2024-02-07,208000.000000,209500.000000,204000.000000,204500.000000,204500.000000,706209
2024-02-08,206500.000000,208000.000000,205000.000000,206000.000000,206000.000000,628984
2024-02-13,206500.000000,208000.000000,204500.000000,205000.000000,205000.000000,860778
2024-02-14,200500.000000,203500.000000,199300.000000,202500.000000,202500.000000,627951
2024-02-15,205000.000000,209500.000000,203500.000000,204000.000000,204000.000000,945641
2024-02-16,205500.000000,209000.000000,204000.000000,205000.000000,205000.000000,999143
2024-02-19,206500.000000,206500.000000,203000.000000,203500.000000,203500.000000,618150
2024-02-20,203500.000000,205500.000000,202000.000000,202500.000000,202500.000000,708867
2024-02-21,202000.000000,203500.000000,201000.000000,202500.000000,202500.000000,592041
2024-02-22,204000.000000,204500.000000,200500.000000,202000.000000,202000.000000,881700
2024-02-23,202500.000000,203000.000000,200000.000000,200500.000000,200500.000000,731357
2024-02-26,200000.000000,201500.000000,199500.000000,199900.000000,199900.000000,630834
2024-02-27,199900.000000,200500.000000,198700.000000,200000.000000,200000.000000,650795
2024-02-28,200500.000000,204000.000000,199700.000000,204000.000000,204000.000000,597421
2024-02-29,200000.000000,200500.000000,196500.000000,196700.000000,196700.000000,921334
